,id,up,site,data-set,marker,name,number
1280,01051602,010516,4,國民政府/內政/社會/革新社會風氣,*,革新社會風氣,264
1281,010517,0105,3,國民政府/內政/社團組織,-,社團組織,170
1282,01051701,010517,4,國民政府/內政/社團組織/社團組織總目,*,社團組織總目,142
1283,01051702,010517,4,國民政府/內政/社團組織/慈善團體,*,慈善團體,12
1284,01051703,010517,4,國民政府/內政/社團組織/救國團體,*,救國團體,2
1285,01051704,010517,4,國民政府/內政/社團組織/教育文化團體,*,教育文化團體,11
1286,01051705,010517,4,國民政府/內政/社團組織/學會,*,學會,3
1287,010518,0105,3,國民政府/內政/社會福利,-,社會福利,61
1288,01051801,010518,4,國民政府/內政/社會福利/養老院,*,養老院,61
1289,010519,0105,3,國民政府/內政/社會救濟,-,社會救濟,415
1290,01051901,010519,4,國民政府/內政/社會救濟/社會救濟總目,*,社會救濟總目,71
1291,01051902,010519,4,國民政府/內政/社會救濟/災害救濟,*,災害救濟,312
1292,01051903,010519,4,國民政府/內政/社會救濟/難民救濟,*,難民救濟,28
1293,01051904,010519,4,國民政府/內政/社會救濟/救濟物資,*,救濟物資,4
1294,010520,0105,3,國民政府/內政/社會運動,-,社會運動,2168
1295,01052001,010520,4,國民政府/內政/社會運動/社會運動總目,*,社會運動總目,42
1296,01052002,010520,4,國民政府/內政/社會運動/敬軍勞軍活動,*,敬軍勞軍活動,164
1297,01052003,010520,4,國民政府/內政/社會運動/捐款,*,捐款,1442
1298,01052004,010520,4,國民政府/內政/社會運動/獻金,*,獻金,221
1299,01052005,010520,4,國民政府/內政/社會運動/節約儲蓄,*,節約儲蓄,72
1300,01052006,010520,4,國民政府/內政/社會運動/救國運動,*,救國運動,227
1301,010521,0105,3,國民政府/內政/勞工,-,勞工,37
1302,01052101,010521,4,國民政府/內政/勞工/勞工總目,*,勞工總目,37
1303,010522,0105,3,國民政府/內政/勞工運動、工潮,-,勞工運動、工潮,4
1304,01052201,010522,4,國民政府/內政/勞工運動、工潮/勞工運動、工潮總目,*,勞工運動、工潮總目,4
1305,010523,0105,3,國民政府/內政/地政,-,地政,89
1306,01052301,010523,4,國民政府/內政/地政/地政總目,*,地政總目,74
1307,01052302,010523,4,國民政府/內政/地政/設計發展,*,設計發展,10
1308,01052303,010523,4,國民政府/內政/地政/報表,*,報表,5
1309,010524,0105,3,國民政府/內政/方域,-,方域,116
1310,01052401,010524,4,國民政府/內政/方域/方域總目,*,方域總目,2
1311,01052402,010524,4,國民政府/內政/方域/島嶼,*,島嶼,21
1312,01052403,010524,4,國民政府/內政/方域/行政區域,*,行政區域,53
1313,01052404,010524,4,國民政府/內政/方域/地圖,*,地圖,5
1314,01052405,010524,4,國民政府/內政/方域/全國地圖,*,全國地圖,2
1315,01052406,010524,4,國民政府/內政/方域/省圖,*,省圖,4
1316,01052407,010524,4,國民政府/內政/方域/市街圖,*,市街圖,2
1317,01052408,010524,4,國民政府/內政/方域/教科圖,*,教科圖,8
1318,01052409,010524,4,國民政府/內政/方域/地名(更名、譯名、山河名稱),*,地名(更名、譯…,19
1319,010525,0105,3,國民政府/內政/地權,-,地權,230
1320,01052501,010525,4,國民政府/內政/地權/土地改革,*,土地改革,12
1321,01052502,010525,4,國民政府/內政/地權/減租,*,減租,64
1322,01052503,010525,4,國民政府/內政/地權/土地徵收,*,土地徵收,132
1323,01052504,010525,4,國民政府/內政/地權/公地放領,*,公地放領,13
1324,01052505,010525,4,國民政府/內政/地權/公地放租,*,公地放租,9
1325,010526,0105,3,國民政府/內政/地籍,-,地籍,272
1326,01052601,010526,4,國民政府/內政/地籍/土地陳報,*,土地陳報,9
1327,01052602,010526,4,國民政府/內政/地籍/地籍測量,*,地籍測量,3
1328,01052603,010526,4,國民政府/內政/地籍/土地登記,*,土地登記,63
1329,01052604,010526,4,國民政府/內政/地籍/土地管理,*,土地管理,98
1330,01052605,010526,4,國民政府/內政/地籍/公地管理,*,公地管理,99
1331,010527,0105,3,國民政府/內政/地價,-,地價,8
1332,01052701,010527,4,國民政府/內政/地價/補償,*,補償,3
1333,01052702,010527,4,國民政府/內政/地價/地價稅,*,地價稅,5
1334,010528,0105,3,國民政府/內政/地用,-,地用,8
1335,01052801,010528,4,國民政府/內政/地用/地用總目,*,地用總目,5
1336,01052802,010528,4,國民政府/內政/地用/建(市)地使用,*,建(市)地…,3
1337,010529,0105,3,國民政府/內政/營建,-,營建,4
1338,01052901,010529,4,國民政府/內政/營建/規劃設計,*,規劃設計,4
1339,010530,0105,3,國民政府/內政/都市計劃,-,都市計劃,27
1340,01053001,010530,4,國民政府/內政/都市計劃/都市計劃總目,*,都市計劃總目,13
1341,01053002,010530,4,國民政府/內政/都市計劃/市容整頓,*,市容整頓,14
1342,010531,0105,3,國民政府/內政/建築管理,-,建築管理,59
1343,01053101,010531,4,國民政府/內政/建築管理/建築管理總目,*,建築管理總目,59
1344,010532,0105,3,國民政府/內政/公共工程,-,公共工程,4
1345,01053201,010532,4,國民政府/內政/公共工程/公有營建工程,*,公有營建工程,4
1346,010533,0105,3,國民政府/內政/陳情及訴願,-,陳情及訴願,1148
1347,01053301,010533,4,國民政府/內政/陳情及訴願/陳情及訴願總目,*,陳情及訴願總目,1148
1348,010534,0105,3,國民政府/內政/警政,-,警政,225
1349,01053401,010534,4,國民政府/內政/警政/警政總目,*,警政總目,67
1350,01053402,010534,4,國民政府/內政/警政/政策、制度,*,政策、制度,36
1351,01053403,010534,4,國民政府/內政/警政/計劃,*,計劃,31
1352,01053404,010534,4,國民政府/內政/警政/報告,*,報告,7
1353,01053405,010534,4,國民政府/內政/警政/會議,*,會議,4
1354,01053406,010534,4,國民政府/內政/警政/檢討改進,*,檢討改進,7
1355,01053407,010534,4,國民政府/內政/警政/改革,*,改革,7
1356,01053408,010534,4,國民政府/內政/警政/警察機構設置(增設、裁併),*,警察機構設置(…,40
1357,01053409,010534,4,國民政府/內政/警政/經理補給,*,經理補給,18
1358,01053410,010534,4,國民政府/內政/警政/請願案件處理,*,請願案件處理,8
1359,010535,0105,3,國民政府/內政/治安,-,治安,142
