,id,up,site,data-set,marker,name,number
120,007#meeting#M115,,2,,+,第十五屆,2251
121,007#meeting#M116,,2,,+,第十六屆,1420
122,008#meeting#M101,,2,,+,第一屆,433
123,008#meeting#M201,,2,,+,第一屆,1170
124,008#meeting#M202,,2,,+,第二屆,1085
125,008#meeting#M203,,2,,+,第三屆,3027
126,008#meeting#M204,,2,,+,第四屆,3551
127,008#meeting#M205,,2,,+,第五屆,2586
128,008#meeting#M206,,2,,+,第六屆,2455
129,008#meeting#M207,,2,,+,第七屆,3368
130,008#meeting#M208,,2,,+,第八屆,4222
131,008#meeting#M209,,2,,+,第九屆,4349
132,008#meeting#M210,,2,,+,第十屆,3957
133,008#meeting#M211,,2,,+,第十一屆,4099
134,008#meeting#M212,,2,,+,第十二屆,4342
135,008#meeting#M213,,2,,+,第十三屆,4390
136,008#meeting#M214,,2,,+,第十四屆,3818
137,008#meeting#M215,,2,,+,第十五屆,3441
138,008#meeting#M216,,2,,+,第十六屆,3414
139,009#meeting#M101,,2,,+,第一屆,1694
140,009#meeting#M201,,2,,+,第一屆,1668
141,009#meeting#M202,,2,,+,第二屆,1599
142,009#meeting#M203,,2,,+,第三屆,3559
143,009#meeting#M204,,2,,+,第四屆,2618
144,009#meeting#M205,,2,,+,第五屆,1966
145,009#meeting#M206,,2,,+,第六屆,2192
146,009#meeting#M207,,2,,+,第七屆,2365
147,009#meeting#M208,,2,,+,第八屆,2847
148,009#meeting#M209,,2,,+,第九屆,2558
149,009#meeting#M210,,2,,+,第十屆,2408
150,009#meeting#M211,,2,,+,第十一屆,2196
151,009#meeting#M212,,2,,+,第十二屆,2570
152,009#meeting#M213,,2,,+,第十三屆,2670
153,009#meeting#M214,,2,,+,第十四屆,3066
154,009#meeting#M215,,2,,+,第十五屆,2452
155,009#meeting#M216,,2,,+,第十六屆,2927
156,010#meeting#M101,,2,,+,第一屆,64
157,010#meeting#M201,,2,,+,第二屆,4054
158,010#meeting#M202,,2,,+,第三屆,4990
159,010#meeting#M203,,2,,+,第四屆,5443
160,010#meeting#M204,,2,,+,第五屆,4034
161,010#meeting#M205,,2,,+,第六屆,6474
162,010#meeting#M206,,2,,+,第七屆,9076
163,010#meeting#M207,,2,,+,第八屆,9505
164,010#meeting#M208,,2,,+,第九屆,3529
165,010#meeting#M301,,2,,+,第一屆,1398
166,010#meeting#M302,,2,,+,第一次定期大會,1637
167,010#meeting#M303,,2,,+,第二次定期大會,1664
168,010#meeting#M304,,2,,+,第三次定期大會,978
169,010#meeting#M305,,2,,+,第四次定期大會,760
170,010#meeting#M306,,2,,+,第五次定期大會,820
171,010#meeting#M401,,2,,+,第一屆,21437
172,010#meeting#M402,,2,,+,第二屆,24333
173,010#meeting#M403,,2,,+,第三屆,39488
174,010#meeting#M404,,2,,+,第四屆,45890
175,010#meeting#M405,,2,,+,第五屆,26718
176,010#meeting#M406,,2,,+,第六屆,43303
177,010#meeting#M407,,2,,+,第七屆,30385
178,010#meeting#M501,,2,,+,第1屆,896
179,011#meeting#M101,,2,,+,第一屆,1199
180,011#meeting#M201,,2,,+,第一屆,1875
181,011#meeting#M202,,2,,+,第二屆,1476
182,011#meeting#M203,,2,,+,第三屆,2714
183,011#meeting#M204,,2,,+,第四屆,2908
184,011#meeting#M205,,2,,+,第五屆,2463
185,011#meeting#M206,,2,,+,第六屆,2321
186,011#meeting#M207,,2,,+,第七屆,3379
187,011#meeting#M208,,2,,+,第八屆,3243
188,011#meeting#M209,,2,,+,第九屆,3114
189,011#meeting#M210,,2,,+,第十屆,3244
190,011#meeting#M211,,2,,+,第十一屆,4072
191,011#meeting#M212,,2,,+,第十二屆,4245
192,011#meeting#M213,,2,,+,第十三屆,3435
193,011#meeting#M214,,2,,+,第十四屆,3387
194,011#meeting#M215,,2,,+,第十五屆,2017
195,011#meeting#M216,,2,,+,第十六屆,3446
196,013#meeting#M101,,2,,+,第一屆,16966
197,013#meeting#M102,,2,,+,第二屆,3939
198,013#meeting#M103,,2,,+,第2屆,2510
199,013#meeting#M201,,2,,+,第一屆,1684
200,013#meeting#M202,,2,,+,第二屆,1396
201,013#meeting#M203,,2,,+,第三屆,3532
