,id,up,site,data-set,marker,name,number
2724,0203051006,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第六次會議,*,第六次會議,3
2725,0203051007,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第七次會議,*,第七次會議,4
2726,0203051008,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第八次會議,*,第八次會議,3
2727,0203051009,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第九次會議,*,第九次會議,3
2728,0203051010,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十次會議,*,第十次會議,3
2729,0203051011,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十一次會議,*,第十一次會議,3
2730,0203051012,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十二次會議,*,第十二次會議,3
2731,0203051013,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十三次會議,*,第十三次會議,3
2732,0203051014,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十四次會議,*,第十四次會議,7
2733,0203051015,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十五次會議,*,第十五次會議,3
2734,0203051016,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十六次會議,*,第十六次會議,3
2735,0203051017,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十七次會議,*,第十七次會議,3
2736,0203051018,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十八次會議,*,第十八次會議,3
2737,0203051019,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第十九次會議,*,第十九次會議,3
2738,0203051020,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十次會議,*,第二十次會議,7
2739,0203051021,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十一次會議,*,第二十一次會議,4
2740,0203051022,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十二次會議,*,第二十二次會議,3
2741,0203051023,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十三次會議,*,第二十三次會議,3
2742,0203051024,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十四次會議,*,第二十四次會議,3
